Donation Id,Donor ID,Received Date,Created At,Amount,Deductible Amount,Total Donation Amount,Splits,Fund,Donation Type,Check Number,Check Date,Check Memo,Memo,Source,Transaction ID,Transaction Net,Letter Sent,Email Sent,Is Company?
9921407,9138948,10-Jun-21,"Tuesday, June 15, 2021 at 06:33 PM",25,25,25,$25.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,25,,,FALSE
9921433,7573569,10-Jun-21,"Tuesday, June 15, 2021 at 06:48 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9921436,6569166,10-Jun-21,"Tuesday, June 15, 2021 at 06:50 PM",25,25,25,$25.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,25,,,FALSE
9921438,8455926,10-Jun-21,"Tuesday, June 15, 2021 at 06:51 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9921440,9097379,10-Jun-21,"Tuesday, June 15, 2021 at 06:52 PM",100,100,100,$100.00 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,100,,,FALSE
9921441,491205,10-Jun-21,"Tuesday, June 15, 2021 at 06:53 PM",25,25,25,$25.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,25,,,FALSE
9921443,8796085,10-Jun-21,"Tuesday, June 15, 2021 at 06:54 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9921444,491122,11-Jun-21,"Tuesday, June 15, 2021 at 06:56 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9921445,7688535,11-Jun-21,"Tuesday, June 15, 2021 at 06:57 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9921447,9109614,11-Jun-21,"Tuesday, June 15, 2021 at 06:58 PM",102.56,102.56,102.56,$102.56 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,102.56,,,FALSE
9921449,9132771,11-Jun-21,"Tuesday, June 15, 2021 at 07:00 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9921450,9132773,12-Jun-21,"Tuesday, June 15, 2021 at 07:02 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9921451,7665844,12-Jun-21,"Tuesday, June 15, 2021 at 07:03 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9921453,6569165,14-Jun-21,"Tuesday, June 15, 2021 at 07:05 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9921454,9067698,14-Jun-21,"Tuesday, June 15, 2021 at 07:06 PM",10,10,10,$10.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,10,,,FALSE
9921456,8794389,14-Jun-21,"Tuesday, June 15, 2021 at 07:07 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9921458,7716804,14-Jun-21,"Tuesday, June 15, 2021 at 07:08 PM",500,500,500,$500.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,500,,,FALSE
9921459,8682716,14-Jun-21,"Tuesday, June 15, 2021 at 07:09 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9921465,9132779,14-Jun-21,"Tuesday, June 15, 2021 at 07:10 PM",10,10,10,$10.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,10,,,FALSE
9921469,8752544,15-Jun-21,"Tuesday, June 15, 2021 at 07:11 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9921642,6173346,14-Jun-21,"Tuesday, June 15, 2021 at 11:40 PM",600,600,600,$600.00 for General Support,General Support,Check,8784,3-Jun-21,,,Individual Contributions,,600,"Friday, June 18, 2021 at 06:55 PM",,FALSE
9922404,8668167,16-Jun-21,"Wednesday, June 16, 2021 at 04:27 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9922565,8667002,16-Jun-21,"Wednesday, June 16, 2021 at 09:21 PM",80,80,80,$80.00 for General Support,General Support,Online Donation,,,,,Individual Contributions,,80,,,FALSE
9923274,8667002,16-Jun-21,"Thursday, June 17, 2021 at 07:43 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9923361,9068202,17-Jun-21,"Thursday, June 17, 2021 at 10:45 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9923976,8796400,17-Jun-21,"Friday, June 18, 2021 at 06:11 PM",99,99,99,$99.00 for General Support (Community store earnings),General Support,Cash,,,,Community store earnings,Individual Contributions,,99,,,FALSE
9924003,5789399,18-Jun-21,"Friday, June 18, 2021 at 06:46 PM",10000,10000,10000,"$10,000.00 for General Support (HH 2021 Sponsorship)",General Support,Check,369583,9-Jun-21,,HH 2021 Sponsorship,Individual Contributions,,10000,,,TRUE
9924005,8673389,18-Jun-21,"Friday, June 18, 2021 at 06:47 PM",25,25,25,$25.00 for General Support (Spring Appeal),General Support,Check,5472,13-Jun-21,,Spring Appeal,Individual Contributions,,25,"Friday, June 18, 2021 at 06:48 PM",,FALSE
9924006,9009967,18-Jun-21,"Friday, June 18, 2021 at 06:49 PM",100,100,100,$100.00 for General Support,General Support,Check,1319,9-Jun-21,,,Individual Contributions,,100,"Friday, June 18, 2021 at 06:50 PM",,FALSE
9924007,6856809,18-Jun-21,"Friday, June 18, 2021 at 06:51 PM",4102.25,4102.25,4102.25,"$4,102.25 for General Support (Tiffany paycheck)",General Support,Check,84179,8-Jun-21,,Tiffany paycheck,Individual Contributions,,4102.25,,,TRUE
9924008,7702449,18-Jun-21,"Friday, June 18, 2021 at 06:53 PM",10,10,10,$10.00 for General Support,General Support,Check,3836383,15-Jun-21,,,Individual Contributions,,10,,,TRUE
9925684,8687514,21-Jun-21,"Monday, June 21, 2021 at 11:04 PM",100000,100000,100000,"$100,000.00 for General Support (School programs)",General Support,Check,6719,2-Jun-21,,School programs,Foundations/Grants/Government,,100000,,,TRUE
9926463,8663774,17-Jun-21,"Tuesday, June 22, 2021 at 06:37 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9926464,8662786,17-Jun-21,"Tuesday, June 22, 2021 at 06:38 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9926465,9008378,17-Jun-21,"Tuesday, June 22, 2021 at 06:39 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9926466,5354962,17-Jun-21,"Tuesday, June 22, 2021 at 06:40 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9926469,8782524,17-Jun-21,"Tuesday, June 22, 2021 at 06:44 PM",25,25,25,$25.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,25,,,FALSE
9926470,2812965,17-Jun-21,"Tuesday, June 22, 2021 at 06:45 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9926471,8304902,18-Jun-21,"Tuesday, June 22, 2021 at 06:46 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9926472,6759774,18-Jun-21,"Tuesday, June 22, 2021 at 06:47 PM",25,25,25,$25.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,25,,,FALSE
9926473,8304983,18-Jun-21,"Tuesday, June 22, 2021 at 06:48 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9926474,8818379,18-Jun-21,"Tuesday, June 22, 2021 at 06:49 PM",20.16,20.16,20.16,$20.16 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,20.16,,,FALSE
9926485,9009055,19-Jun-21,"Tuesday, June 22, 2021 at 07:15 PM",10,10,10,$10.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,10,,,FALSE
9926486,6757055,19-Jun-21,"Tuesday, June 22, 2021 at 07:16 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9926488,8383016,19-Jun-21,"Tuesday, June 22, 2021 at 07:23 PM",25,25,25,$25.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,25,,,FALSE
9926489,731357,19-Jun-21,"Tuesday, June 22, 2021 at 07:24 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9926545,8713712,19-Jun-21,"Tuesday, June 22, 2021 at 10:09 PM",75,75,75,$75.00 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,75,,,FALSE
9926554,8197929,20-Jun-21,"Tuesday, June 22, 2021 at 10:21 PM",252,252,252,$252.00 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,252,,,FALSE
9926556,3941259,21-Jun-21,"Tuesday, June 22, 2021 at 10:26 PM",50,50,50,$50.00 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,50,,,FALSE
9926557,9111320,22-Jun-21,"Tuesday, June 22, 2021 at 10:27 PM",50,50,50,$50.00 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,50,,,FALSE
9926558,8670663,22-Jun-21,"Tuesday, June 22, 2021 at 10:28 PM",25.87,25.87,25.87,$25.87 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,25.87,,,FALSE
9926559,6769814,22-Jun-21,"Tuesday, June 22, 2021 at 10:29 PM",25.2,25.2,25.2,$25.20 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,25.2,,,FALSE
9926562,9134216,22-Jun-21,"Tuesday, June 22, 2021 at 10:41 PM",50,50,50,$50.00 for General Support,General Support,Online Donation,,,,,Individual Contributions,,50,,,FALSE
9928228,7369459,24-Jun-21,"Thursday, June 24, 2021 at 08:58 PM",51.43,51.43,51.43,$51.43 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,51.43,,,FALSE
9928244,3049806,24-Jun-21,"Thursday, June 24, 2021 at 11:09 PM",1000,1000,1000,"$1,000.00 for General Support",General Support,Check,413,22-Jun-21,,,Individual Contributions,,1000,"Thursday, June 24, 2021 at 11:10 PM",,FALSE
9930273,6279279,26-Jun-21,"Monday, June 28, 2021 at 04:43 PM",25,25,25,$25.00 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,25,,,FALSE
9930274,6370302,27-Jun-21,"Monday, June 28, 2021 at 04:43 PM",42,42,42,$42.00 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,42,,,FALSE
9930275,7716745,27-Jun-21,"Monday, June 28, 2021 at 04:44 PM",107.67,107.67,107.67,$107.67 for General Support (HH 2020 - Monthly),General Support,Online Donation,,,,HH 2020 - Monthly,Individual Contributions,,107.67,,,FALSE
9930331,2930120,27-Jun-21,"Monday, June 28, 2021 at 06:12 PM",1292,1292,1292,"$1,292.00 for General Support (DHS May-June 2021)",General Support,Check,102822,17-Jun-21,,DHS May-June 2021,Foundations/Grants/Government,,1292,,,TRUE
9930333,8542967,28-Jun-21,"Monday, June 28, 2021 at 06:18 PM",25,25,25,$25.00 for General Support (Monthly),General Support,Check,720282796,14-Jun-21,,Monthly,Individual Contributions,,25,,,FALSE
9930335,9008712,28-Jun-21,"Monday, June 28, 2021 at 06:23 PM",250,250,250,$250.00 for General Support,General Support,Check,1298,16-Jun-21,,,Churches & Clubs,,250,"Monday, June 28, 2021 at 06:36 PM",,TRUE
9930342,6437533,28-Jun-21,"Monday, June 28, 2021 at 06:38 PM",100,100,100,$100.00 for General Support (In memory of Tom Mott),General Support,Check,2554,20-Jun-21,,In memory of Tom Mott,Individual Contributions,,100,"Monday, June 28, 2021 at 06:53 PM",,FALSE
9930355,9134956,28-Jun-21,"Monday, June 28, 2021 at 06:57 PM",25,25,25,$25.00 for General Support (In memory of Tom Mott),General Support,Check,673,28-Jun-21,,In memory of Tom Mott,Individual Contributions,,25,"Monday, June 28, 2021 at 06:58 PM",,FALSE
9930363,7101148,28-Jun-21,"Monday, June 28, 2021 at 07:02 PM",150,150,150,$150.00 for General Support (Spring Appeal),General Support,Check,2759,17-Jun-21,,Spring Appeal,Individual Contributions,,150,"Monday, June 28, 2021 at 07:04 PM",,FALSE
9930384,9095574,28-Jun-21,"Monday, June 28, 2021 at 07:09 PM",500,500,500,$500.00 for General Support (Spring Appeal),General Support,Check,4525,22-Jun-21,,Spring Appeal,Individual Contributions,,500,"Monday, June 28, 2021 at 07:09 PM",,FALSE
9930385,6483872,28-Jun-21,"Monday, June 28, 2021 at 07:12 PM",1000,1000,1000,"$1,000.00 for General Support",General Support,Check,1021,23-Jun-21,,,Churches & Clubs,,1000,"Monday, June 28, 2021 at 07:12 PM",,TRUE
9930406,8932626,28-Jun-21,"Monday, June 28, 2021 at 08:04 PM",60,60,60,$60.00 for General Support (Kaiser employee giving Jan-Mar 2021),General Support,Check,320449,8-Jun-21,,Kaiser employee giving Jan-Mar 2021,Individual Contributions,,60,,,FALSE
9930407,8932626,28-Jun-21,"Monday, June 28, 2021 at 08:05 PM",200,200,200,$200.00 for General Support (Kaiser employee giving),General Support,Check,321086,14-Jun-21,,Kaiser employee giving,Individual Contributions,,200,,,FALSE
